drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
arsenic trioxide,isotretinoin,arsenic trioxide + isotretinoin,22,13,62,-44,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.896802603867509,FALSE,FALSE,not_patient_scored
arsenic trioxide,teniposide,arsenic trioxide + teniposide,-244,-225.4,-75,-331,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,doxorubicin,arsenic trioxide + doxorubicin,-40,-25.2,50,-90,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
arsenic trioxide,bleomycin,arsenic trioxide + bleomycin,28,22,39,-12,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.91738464484013,FALSE,FALSE,not_patient_scored
arsenic trioxide,paclitaxel,arsenic trioxide + paclitaxel,-3,2.8,51,-27,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
arsenic trioxide,decitabine,arsenic trioxide + decitabine,27,20.4,35,-9,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.914225540876891,FALSE,FALSE,not_patient_scored
arsenic trioxide,bendamustine,arsenic trioxide + bendamustine,-1,-12.8,15,-45,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,etoposide,arsenic trioxide + etoposide,-239,-214,-26,-306,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,dexrazoxane,arsenic trioxide + dexrazoxane,-52,-61.6,-45,-92,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,tamoxifen,arsenic trioxide + tamoxifen,29,19.4,64,-41,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.920830940072755,FALSE,FALSE,not_patient_scored
arsenic trioxide,pentostatin,arsenic trioxide + pentostatin,7,-5,10,-52,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.810453762205629,FALSE,FALSE,not_patient_scored
arsenic trioxide,rapamycin,arsenic trioxide + rapamycin,-28,-12.4,54,-93,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
arsenic trioxide,carboplatin,arsenic trioxide + carboplatin,-2,-7.8,25,-39,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,valrubicin,arsenic trioxide + valrubicin,-8.5,-11,-2,-25,0,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,oxaliplatin,arsenic trioxide + oxaliplatin,-4,-19,18,-90,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,mitoxantrone,arsenic trioxide + mitoxantrone,-268,-252.2,-99,-336,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
amifostine,arsenic trioxide,amifostine + arsenic trioxide,13,6.8,26,-31,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.852766609228413,FALSE,FALSE,not_patient_scored
arsenic trioxide,temozolomide,arsenic trioxide + temozolomide,-33,-29.8,-4,-60,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,imiquimod,arsenic trioxide + imiquimod,-15,3.8,59,-40,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,carmustine,arsenic trioxide + carmustine,-27,-18.2,39,-61,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,clofarabine,arsenic trioxide + clofarabine,-19,8.4,73,-46,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,vinorelbine,arsenic trioxide + vinorelbine,-10,-17.2,39,-91,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,topotecan,arsenic trioxide + topotecan,-11,-2,31,-35,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,gemcitabine,arsenic trioxide + gemcitabine,-17,-0.4,49,-45,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
arsenic trioxide,docetaxel,arsenic trioxide + docetaxel,-31,-21.4,28,-55,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,arsenic trioxide,7 ethyl 10 hydroxycamptothecin + arsenic trioxide,-15,-19.6,-1,-57,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,bortezomib,arsenic trioxide + bortezomib,-24,-23.6666666666667,-19,-28,0,3,BR:BT-549;BR:HS 578T;BR:MCF7,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,nelarabine,arsenic trioxide + nelarabine,6,1.6,15,-13,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
arsenic trioxide,pemetrexed,arsenic trioxide + pemetrexed,-5,-3,32,-30,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,vorinostat,arsenic trioxide + vorinostat,34,24.4,44,-23,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.934711851426383,FALSE,FALSE,not_patient_scored
arsenic trioxide,estramustine,arsenic trioxide + estramustine,-105,-69.8,36,-144,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,capecitabine,arsenic trioxide + capecitabine,-12,-2,54,-25,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,exemestane,arsenic trioxide + exemestane,-248,-248.6,13,-430,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,gefitinib,arsenic trioxide + gefitinib,-12,-0.6,65,-47,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,erlotinib,arsenic trioxide + erlotinib,-2,4,43,-18,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,fulvestrant,arsenic trioxide + fulvestrant,-11,-0.8,41,-21,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
anastrozole,arsenic trioxide,anastrozole + arsenic trioxide,-54,-48.2,-8,-67,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,letrozole,arsenic trioxide + letrozole,-19,-34.6,-5,-72,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,celecoxib,arsenic trioxide + celecoxib,-28,-35.6,-16,-61,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,zoledronate,arsenic trioxide + zoledronate,-35,-34.2,-3,-64,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,dasatinib,arsenic trioxide + dasatinib,-24,-26.8,-4,-66,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,everolimus,arsenic trioxide + everolimus,-4,2,43,-32,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,pazopanib,arsenic trioxide + pazopanib,-30,-33,-2,-90,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,imatinib,arsenic trioxide + imatinib,-34,-33.6,-8,-54,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,lapatinib,arsenic trioxide + lapatinib,2,4.4,26,-7,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.768140915182845,FALSE,TRUE,tier_B_one_drug_patient_scored
arsenic trioxide,nilotinib,arsenic trioxide + nilotinib,-16,-14.75,17,-44,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,sorafenib,arsenic trioxide + sorafenib,-32,-52.6,-20,-109,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,lenalidomide,arsenic trioxide + lenalidomide,-14,-23.6,16,-60,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,ixabepilone,arsenic trioxide + ixabepilone,-36,-28.2,36,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,raloxifene,arsenic trioxide + raloxifene,-68,-91.8,-37,-172,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,arsenic trioxide,abiraterone + arsenic trioxide,-79,-77,-37,-124,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,sunitinib,arsenic trioxide + sunitinib,-3,-9,11,-39,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,vemurafenib,arsenic trioxide + vemurafenib,-10,1.6,73,-62,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,depsipeptide,arsenic trioxide + depsipeptide,-21,-22.2,-9,-37,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
