drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
azacitidine,doxorubicin,azacitidine + doxorubicin,-24,-20.6,-4,-31,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
cladribine,doxorubicin,cladribine + doxorubicin,-36,-41.6,-24,-72,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,fludarabine,doxorubicin + fludarabine,-35,-40.4,-13,-61,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,isotretinoin,doxorubicin + isotretinoin,4,11.2,53,-29,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.783553513306529,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,paclitaxel,doxorubicin + paclitaxel,-52,-46,3,-89,0.333333333333333,3,BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,TRUE,TRUE,tier_A_both_drugs_patient_scored
bendamustine,doxorubicin,bendamustine + doxorubicin,-34,-46.8,-18,-100,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,tamoxifen,doxorubicin + tamoxifen,48,89.6,246,17,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.958452996362244,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,rapamycin,doxorubicin + rapamycin,0,0.6,40,-64,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,TRUE,tier_A_both_drugs_patient_scored
carboplatin,doxorubicin,carboplatin + doxorubicin,-38,-37.25,-21,-52,0,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,temozolomide,doxorubicin + temozolomide,-38,-26.4,32,-66,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
clofarabine,doxorubicin,clofarabine + doxorubicin,-38,-35.8,18,-79,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,gemcitabine,doxorubicin + gemcitabine,-50,-42.8,-7,-68,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,TRUE,tier_A_both_drugs_patient_scored
docetaxel,doxorubicin,docetaxel + doxorubicin,2,4.75,62,-47,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.768140915182845,TRUE,TRUE,tier_A_both_drugs_patient_scored
7 ethyl 10 hydroxycamptothecin,doxorubicin,7 ethyl 10 hydroxycamptothecin + doxorubicin,-43,-43.6,-8,-65,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,nelarabine,doxorubicin + nelarabine,-49,-53,5,-119,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,vorinostat,doxorubicin + vorinostat,-17,-14.6,3,-27,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
capecitabine,doxorubicin,capecitabine + doxorubicin,-61,-53.2,26,-115,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,letrozole,doxorubicin + letrozole,-73,-65.6,12,-139,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
celecoxib,doxorubicin,celecoxib + doxorubicin,36,76.4,202,-25,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.938828259620908,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,zoledronate,doxorubicin + zoledronate,-11,-17.4,13,-55,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
dasatinib,doxorubicin,dasatinib + doxorubicin,0,-12.2,22,-68,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,everolimus,doxorubicin + everolimus,7,-4,34,-50,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.810453762205629,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,imatinib,doxorubicin + imatinib,37,28.6,117,-55,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.941317250622248,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,lapatinib,doxorubicin + lapatinib,-38,-23.2,59,-74,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,TRUE,tier_A_both_drugs_patient_scored
doxorubicin,nilotinib,doxorubicin + nilotinib,-46,-45.4,-13,-64,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,sorafenib,doxorubicin + sorafenib,22,4.2,33,-53,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.896802603867509,TRUE,FALSE,tier_B_one_drug_patient_scored
doxorubicin,sunitinib,doxorubicin + sunitinib,-36,-71,-6,-155,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
depsipeptide,doxorubicin,depsipeptide + doxorubicin,42.5,41.75,85,-3,0.75,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.950315910396324,FALSE,TRUE,tier_B_one_drug_patient_scored
doxorubicin,pralatrexate,doxorubicin + pralatrexate,-11,-12.8,-8,-22,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
6 thioguanine,bleomycin,6 thioguanine + bleomycin,-51,-39,26,-80,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
actinomycin d,bleomycin,actinomycin d + bleomycin,-38,-28.8,48,-114,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,chlorambucil,bleomycin + chlorambucil,-33.5,-23.25,41,-67,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,thiotepa,bleomycin + thiotepa,-46,-44.8,-29,-66,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,melphalan,bleomycin + melphalan,-23.5,-15.25,32,-46,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,triethylenemelamine,bleomycin + triethylenemelamine,-14,-20.6,39,-101,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
altretamine,bleomycin,altretamine + bleomycin,-58,-60.75,1,-128,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
5-fluorouracil,bleomycin,5-fluorouracil + bleomycin,-22.5,-23.25,21,-69,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
bleomycin,mithramycin,bleomycin + mithramycin,18,8.6,54,-50,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.878996745165614,FALSE,FALSE,not_patient_scored
bleomycin,floxuridine,bleomycin + floxuridine,-55,-56,-40,-72,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,hydroxyurea,bleomycin + hydroxyurea,-26,-44.6,14,-120,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,uracil mustard,bleomycin + uracil mustard,3.5,4,45,-36,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.779245644265748,FALSE,FALSE,not_patient_scored
bleomycin,dacarbazine,bleomycin + dacarbazine,-70.5,-58.25,-20,-72,0,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,cytarabine,bleomycin + cytarabine,-60,-37.6,76,-116,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,vincristine,bleomycin + vincristine,-18,-27.6,6,-91,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,megestrol acetate,bleomycin + megestrol acetate,-77,-89.75,-32,-173,0,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,lomustine,bleomycin + lomustine,20.5,15.25,61,-41,0.75,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.890005743825388,FALSE,FALSE,not_patient_scored
bleomycin,daunorubicin,bleomycin + daunorubicin,21,16,60,-38,0.75,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.892111813134214,FALSE,FALSE,not_patient_scored
azacitidine,bleomycin,azacitidine + bleomycin,-43,-44.4,-7,-95,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,cladribine,bleomycin + cladribine,-52,-54.4,-22,-82,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,fludarabine,bleomycin + fludarabine,-31,-26,15,-51,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,isotretinoin,bleomycin + isotretinoin,-14,-21.2,47,-101,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,teniposide,bleomycin + teniposide,47.5,39.5,111,-48,0.75,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.957782883400345,FALSE,FALSE,not_patient_scored
bleomycin,doxorubicin,bleomycin + doxorubicin,-8,-6.4,22,-52,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
bleomycin,paclitaxel,bleomycin + paclitaxel,14,1.8,69,-81,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.858989086731763,FALSE,TRUE,tier_B_one_drug_patient_scored
bleomycin,etoposide,bleomycin + etoposide,-31.5,-21.25,25,-47,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,dexrazoxane,bleomycin + dexrazoxane,12,-7,40,-92,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.847118514263833,FALSE,FALSE,not_patient_scored
bleomycin,tamoxifen,bleomycin + tamoxifen,-30,-31.4,6,-62,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,rapamycin,bleomycin + rapamycin,-34,-41.2,-28,-62,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
bleomycin,carboplatin,bleomycin + carboplatin,-56,-51.4,-21,-67,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,mitoxantrone,bleomycin + mitoxantrone,4.5,4.25,40,-32,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.787669921501053,FALSE,FALSE,not_patient_scored
bleomycin,temozolomide,bleomycin + temozolomide,-34,-52.8,-20,-107,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,clofarabine,bleomycin + clofarabine,-13,-36,-1,-119,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,vinorelbine,bleomycin + vinorelbine,-44,-36.25,10,-67,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,gemcitabine,bleomycin + gemcitabine,-28,-36.2,-17,-76,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
bleomycin,docetaxel,bleomycin + docetaxel,-38,-16.4,37,-70,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,bleomycin,7 ethyl 10 hydroxycamptothecin + bleomycin,-27,-34.6,-6,-89,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,nelarabine,bleomycin + nelarabine,-26,-39.4,40,-174,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,pemetrexed,bleomycin + pemetrexed,-16,-15,15,-43,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,vorinostat,bleomycin + vorinostat,-8,-21,14,-70,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,capecitabine,bleomycin + capecitabine,-26,-53,-17,-141,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,exemestane,bleomycin + exemestane,6,5,34,-26,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.802508137085966,FALSE,FALSE,not_patient_scored
bleomycin,gefitinib,bleomycin + gefitinib,-6.5,-5.5,10,-19,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,letrozole,bleomycin + letrozole,-31,-59.2,-12,-198,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,celecoxib,bleomycin + celecoxib,-39,-60.2,-19,-116,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,zoledronate,bleomycin + zoledronate,-14,-10.6,24,-34,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,dasatinib,bleomycin + dasatinib,10,0.8,31,-33,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.835343672219031,FALSE,FALSE,not_patient_scored
bleomycin,everolimus,bleomycin + everolimus,-14,-13.6,15,-47,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,pazopanib,bleomycin + pazopanib,6,0.4,13,-33,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
bleomycin,imatinib,bleomycin + imatinib,-50,-59.8,-28,-117,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,lapatinib,bleomycin + lapatinib,-36,-44.8,10,-127,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
bleomycin,nilotinib,bleomycin + nilotinib,-42,-49.2,-14,-90,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,lenalidomide,bleomycin + lenalidomide,-23,-36.25,20,-119,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,raloxifene,bleomycin + raloxifene,-8,-17.8,-2,-45,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,bleomycin,abiraterone + bleomycin,6,6.2,37,-25,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
bleomycin,sunitinib,bleomycin + sunitinib,-28,-17.6,8,-37,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,vemurafenib,bleomycin + vemurafenib,-33,-33.4,-16,-51,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,depsipeptide,bleomycin + depsipeptide,-2,8,50,-31,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,vismodegib,bleomycin + vismodegib,-42,-33,-1,-59,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,crizotinib,bleomycin + crizotinib,-32,-23.8,14,-46,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
axitinib,bleomycin,axitinib + bleomycin,16,9.4,36,-30,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.869519433275895,FALSE,FALSE,not_patient_scored
bleomycin,vandetanib,bleomycin + vandetanib,-20,-14.8,22,-37,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bleomycin,cabazitaxel,bleomycin + cabazitaxel,2,7,28,-7,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.768140915182845,FALSE,FALSE,not_patient_scored
bleomycin,ruxolitinib,bleomycin + ruxolitinib,-21,-24.8,16,-75,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
6 thioguanine,paclitaxel,6 thioguanine + paclitaxel,-37,-34.4,4,-59,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
actinomycin d,paclitaxel,actinomycin d + paclitaxel,96,30.6,120,-127,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.989182462186483,FALSE,TRUE,tier_B_one_drug_patient_scored
chlorambucil,paclitaxel,chlorambucil + paclitaxel,-30,-25,24,-69,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
paclitaxel,thiotepa,paclitaxel + thiotepa,71,42.2,127,-40,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.980566724104921,TRUE,FALSE,tier_B_one_drug_patient_scored
melphalan,paclitaxel,melphalan + paclitaxel,-26,-33.4,12,-80,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
altretamine,paclitaxel,altretamine + paclitaxel,-2,-5.4,44,-50,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
5-fluorouracil,paclitaxel,5-fluorouracil + paclitaxel,-14,-9.2,35,-49,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,TRUE,tier_A_both_drugs_patient_scored
floxuridine,paclitaxel,floxuridine + paclitaxel,-34,-33.8,52,-145,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
paclitaxel,uracil mustard,paclitaxel + uracil mustard,-24,-22.4,21,-55,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
dacarbazine,paclitaxel,dacarbazine + paclitaxel,-24,-27.6,-14,-49,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
cytarabine,paclitaxel,cytarabine + paclitaxel,-29,-37.6,20,-102,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
paclitaxel,vincristine,paclitaxel + vincristine,-77,-77,-21,-133,0,2,BR:MCF7;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
megestrol acetate,paclitaxel,megestrol acetate + paclitaxel,18,18.8,82,-57,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.878996745165614,FALSE,TRUE,tier_B_one_drug_patient_scored
lomustine,paclitaxel,lomustine + paclitaxel,-16,-4.8,30,-42,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
daunorubicin,paclitaxel,daunorubicin + paclitaxel,0,3.4,50,-71,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
cladribine,paclitaxel,cladribine + paclitaxel,12,-14.6,85,-202,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.847118514263833,FALSE,TRUE,tier_B_one_drug_patient_scored
fludarabine,paclitaxel,fludarabine + paclitaxel,9,8.2,46,-24,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.827685238368754,FALSE,TRUE,tier_B_one_drug_patient_scored
isotretinoin,paclitaxel,isotretinoin + paclitaxel,231,210,343,51,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.998564043653073,FALSE,TRUE,tier_B_one_drug_patient_scored
paclitaxel,teniposide,paclitaxel + teniposide,20.5,17,47,-20,0.75,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.890005743825388,TRUE,FALSE,tier_B_one_drug_patient_scored
etoposide,paclitaxel,etoposide + paclitaxel,-62,-56.8,-31,-79,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
dexrazoxane,paclitaxel,dexrazoxane + paclitaxel,-22,-16,2,-29,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
paclitaxel,tamoxifen,paclitaxel + tamoxifen,250,201.4,419,-15,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.998946965345587,TRUE,FALSE,tier_B_one_drug_patient_scored
paclitaxel,rapamycin,paclitaxel + rapamycin,-3,-21.6,20,-78,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,TRUE,tier_A_both_drugs_patient_scored
carboplatin,paclitaxel,carboplatin + paclitaxel,-17,-39.8,31,-147,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
mitoxantrone,paclitaxel,mitoxantrone + paclitaxel,-16,-20.6,20,-73,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
